track,artistname,artist_count,releasedyear,releasedmonth,releasedday,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,country_mb,tags_lastfm
photograph,ed sheeran,1,2014,6,20,18778,3,2236667932,228,105,"2,453",0,84,108,e,major,61,20,38,61,0,10,5,united kingdom,acoustic; british; singer-songwriter; easy-listening; grime; pop; seen live; male vocalists; indie; folk; alternative; ed sheeran; hip-hop; rock; uk; soul; indie pop; indie folk; english; england; overrated; pop rock; male vocalist; folk pop; love; guitar; rap; cute; folk rock; suffolk; chillout; mellow; 00s; acoustic rock; 10s; ed; fucking amazingggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg; soundtrack; easy listening; romantic; amazing; alternative folk; love at first listen; want to see live; all; ginger
merry christmas,"ed sheeran, elton john",2,2017,11,10,2209,0,135723538,72,90,141,0,0,114,nan,major,59,60,94,24,0,10,4,nan,nan
peru,"ed sheeran, fireboy dml",2,2021,12,23,2999,0,261286503,60,17,154,0,22,108,g,minor,96,71,42,57,0,8,9,nan,nan
sigue,"ed sheeran, j balvin",2,1996,11,24,1370,0,106933107,46,8,60,0,0,88,g,major,89,59,64,5,0,19,7,nan,nan
the joker and the queen (feat. taylor swift),"ed sheeran, taylor swift",2,2022,2,11,1430,0,146789379,46,1,34,0,0,134,nan,major,53,31,31,92,0,28,3,nan,nan
en paris,"el chachito, junior h",2,2022,12,24,406,5,198275403,3,31,2,1,0,139,d#,minor,70,77,48,37,0,12,5,nan,nan
middle of the night,elley duhï¿,1,2020,1,10,4057,8,872137015,78,21,240,1,52,186,e,minor,41,9,61,2,0,12,5,nan,nan
hold me closer,"elton john, britney spears",2,2017,11,10,4967,0,284216603,165,10,177,4,73,126,nan,major,67,49,77,11,0,19,11,nan,nan
numb little bug,em beihold,1,2022,1,28,2026,0,258714692,47,3,42,12,6,85,g#,minor,74,61,52,30,0,26,9,nan,nan
until i found you (with em beihold) - em beihold version,"em beihold, stephen sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,115,101,a#,major,34,32,57,78,0,20,3,nan,nan
the real slim shady,eminem,1,2000,1,1,20763,27,1424589568,81,53,"3,271",1,17,104,f,minor,95,78,66,3,0,4,6,united states,rap; hip-hop; eminem; hip hop; pop; american; detroit; seen live; hiphop; gangsta rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; usa; singer-songwriter; shady; d12; emo; horrorcore; aftermath; dance; michigan; white rap
lose yourself - soundtrack version,eminem,1,2002,1,1,32502,21,1829992958,247,54,"5,567",1,51,171,d,major,70,6,73,1,0,36,26,united states,rap; hip-hop; eminem; hip hop; pop; american; detroit; seen live; hiphop; gangsta rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; usa; singer-songwriter; shady; d12; emo; horrorcore; aftermath; dance; michigan; white rap
mockingbird,eminem,1,2004,1,1,12985,61,1241559043,49,98,"2,394",5,204,84,e,minor,62,24,67,21,0,13,28,united states,rap; hip-hop; eminem; hip hop; pop; american; detroit; seen live; hiphop; gangsta rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; usa; singer-songwriter; shady; d12; emo; horrorcore; aftermath; dance; michigan; white rap
without me,eminem,1,2002,1,1,21081,43,1687664027,98,76,"3,889",5,0,112,g,major,92,67,66,0,0,36,9,united states,rap; hip-hop; eminem; hip hop; pop; american; detroit; seen live; hiphop; gangsta rap; male vocalists; slim shady; rock; alternative; hardcore rap; 00s; 90s; usa; singer-songwriter; shady; d12; emo; horrorcore; aftermath; dance; michigan; white rap
stan,"eminem, dido",2,1999,11,21,17115,0,918915401,83,63,"4,180",0,0,80,f#,minor,78,53,74,4,0,45,21,nan,nan
superman,"eminem, dina rae",2,2002,5,26,7615,14,655466831,18,51,"1,005",0,0,130,e,minor,80,64,76,2,0,20,6,nan,nan
gospel (with eminem),"eminem, dr. dre",2,2022,2,4,1040,0,64787943,8,0,29,0,0,117,c#,major,92,62,86,11,0,24,24,nan,nan
forgot about dre,"eminem, dr. dre",2,1999,1,1,19067,0,675039469,78,15,"1,674",0,3,134,g#,major,93,61,74,9,0,17,8,nan,nan
'till i collapse,"eminem, nate dogg",2,2002,5,26,22923,0,1695712020,78,46,"2,515",1,0,171,c#,major,55,10,85,7,0,8,20,nan,nan
i am woman,emmy meli,1,2021,11,18,2795,0,225259194,45,0,107,0,0,170,a#,major,65,46,47,12,0,13,16,nan,nan
bite me,enhypen,1,2023,5,22,349,69,76767396,8,96,5,0,56,105,c#,major,80,69,78,28,0,11,14,nan,nan
blessed-cursed,enhypen,1,2022,1,10,246,0,77337771,2,12,10,0,0,127,e,minor,60,40,89,9,0,60,6,nan,nan
polaroid love,enhypen,1,2022,1,10,461,0,211372494,10,56,17,0,0,138,g,minor,74,65,67,46,0,36,4,nan,nan
ella baila sola,"eslabon armado, peso pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,f,minor,67,83,76,48,0,8,3,nan,nan
pepas,farruko,1,2021,6,24,14114,17,1309887447,252,109,965,20,,130,g,major,76,44,77,1,0,13,3,united states,reggaeton; puerto rican; mierda; farruko; brutal death metal; black metal; shit; puerto rico; death metal; crap; reggaeton-boriqua; latin; officially shit; all; autotune; metal; spanish; world; humor; male vocalist; singer/songwriter; galicia; b; a; basura; fh; boriqua; chiste; reggaeton  top-50; latin urban; shamanes; my favorite artis; abranlas; urbano latino
feliz cumpleaï¿½ï¿½os fe,feid,1,2022,8,19,3430,38,601863821,45,69,52,4,3,95,f,major,87,57,55,10,0,29,7,nan,nan
chorrito pa las animas,feid,1,2022,12,2,2321,36,345031710,29,65,34,5,3,96,g#,minor,74,61,83,11,0,35,6,nan,nan
remix exclusivo,feid,1,2023,3,17,1235,9,117206995,20,8,15,0,6,87,f,minor,65,71,56,4,0,15,20,nan,nan
normal,feid,1,2022,7,8,2461,36,459276435,47,66,45,5,6,170,e,minor,71,59,56,4,0,27,12,nan,nan
ferxxo 100,feid,1,2022,6,3,1647,30,278920007,20,49,23,2,2,164,g#,minor,70,58,57,25,0,15,7,nan,nan
prohibidox,feid,1,2022,9,13,1473,12,185392587,25,36,25,1,0,180,c#,minor,65,52,80,5,0,6,25,nan,nan
si te la encuentras por ahï¿,feid,1,2022,8,5,1379,4,179061440,23,10,18,0,0,172,g#,minor,74,46,58,15,0,13,8,nan,nan
lady mi amor,feid,1,2022,9,13,330,0,53987404,3,0,2,0,0,93,d,major,78,75,62,6,0,15,6,nan,nan
pantysito,"feid, alejo, robi",3,2022,3,18,2995,0,273005485,49,17,30,0,0,98,g,minor,83,63,74,14,0,16,6,nan,nan
la inocente,"feid, mora",2,2022,4,1,2598,37,477033549,28,57,43,8,85,92,f,minor,76,46,79,31,0,7,6,nan,nan
polaris - remix,"feid, mora, saiko, quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,99,170,g#,minor,62,55,80,15,0,37,7,nan,nan
el cielo,"feid, myke towers, sky rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,a#,minor,72,17,64,7,0,10,5,nan,nan
a veces (feat. feid),"feid, paulo londra",2,2022,11,3,573,0,73513683,2,0,7,0,0,92,c#,major,80,81,67,4,0,8,6,nan,nan
en la de ella,"feid, sech, jhayco",3,2022,10,20,1320,0,133895612,29,26,17,0,0,97,c#,major,82,67,77,8,0,12,5,nan,nan
classy 101,"feid, young miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187,100,b,major,86,67,66,14,0,12,16,nan,nan
cupid - twin ver.,fifty fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0,120,b,minor,78,76,59,43,0,34,3,nan,nan
cupid,fifty fifty,1,2023,2,24,526,10,139681964,15,93,30,0,320,120,d,major,77,94,66,65,0,38,3,nan,nan
baby otaku,"fran c, polima westcoast, nickoog clk, pablito pesadilla",4,2022,8,18,836,0,159240673,14,1,13,0,0,102,a,major,84,43,75,5,0,6,8,nan,nan
lost,frank ocean,1,2012,1,1,29499,11,822239726,124,27,587,0,4,123,a#,minor,91,49,61,3,0,17,22,united states,rnb; soul; hip-hop; r&b; ofwgkta; neo-soul; seen live; alternative rnb; hip hop; american; male vocalists; pop; contemporary r&b; swag; frank ocean; neo soul; singer-songwriter; contemporary rnb; rap; california; alternative hip-hop; alternative; indie; odd future; electronic; new orleans; rhythm and blues; queer; 10s; prog-rnb; r'n'b; experimental; usa; funk; bluegrass; slow jams; louisiana; pbrnb; underground hip-hop; art pop; indie rnb; fucking swag; electronica; electropop; gay; 2010s; rhythm & blues; tyler the creator
pink + white,frank ocean,1,2016,8,20,21574,30,806397070,112,68,266,1,39,160,a,major,54,54,55,67,0,42,11,united states,rnb; soul; hip-hop; r&b; ofwgkta; neo-soul; seen live; alternative rnb; hip hop; american; male vocalists; pop; contemporary r&b; swag; frank ocean; neo soul; singer-songwriter; contemporary rnb; rap; california; alternative hip-hop; alternative; indie; odd future; electronic; new orleans; rhythm and blues; queer; 10s; prog-rnb; r'n'b; experimental; usa; funk; bluegrass; slow jams; louisiana; pbrnb; underground hip-hop; art pop; indie rnb; fucking swag; electronica; electropop; gay; 2010s; rhythm & blues; tyler the creator
jingle bells - remastered 1999,frank sinatra,1,1957,1,1,4326,0,178660459,32,3,65,0,0,175,g#,major,51,94,34,73,0,10,5,united states,jazz; swing; oldies; vocal jazz; easy listening; male vocalists; american; frank sinatra; big band; pop; crooner; 50s; jazz vocal; lounge; vocal; classic; 60s; legend; rat pack; blues; 40s; sinatra; crooners; classic rock; traditional pop; singer-songwriter; christmas; standards; usa; 80s; male vocalist; 70s
let it snow! let it snow! let it snow!,"frank sinatra, b. swanson quartet",2,1950,1,1,10585,0,473248298,126,108,406,0,0,143,d,major,60,86,32,88,0,34,6,nan,nan
limbo,freddie dredd,1,2022,8,11,688,0,199386237,14,1,17,0,2,75,b,minor,80,46,62,3,6,11,46,nan,nan
sabor fresa,fuerza regida,1,2023,6,22,250,26,78300654,16,149,10,5,168,130,g,minor,79,96,86,9,0,9,9,nan,nan
tqm,fuerza regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,f,minor,79,96,85,27,0,11,6,nan,nan
dijeron que no la iba lograr,"fuerza regida, chino pacas",2,2023,3,14,320,6,116334601,5,48,2,1,9,142,g,minor,70,76,79,26,0,11,7,nan,nan
bebe dame,"fuerza regida, grupo frontera",2,2022,12,16,849,22,367316268,27,129,21,7,111,157,g,major,54,75,60,30,0,7,5,nan,nan
ch y la pizza,"fuerza regida, natanael cano",2,2022,12,1,536,10,288101651,10,72,8,3,14,149,g#,major,66,85,60,40,0,14,13,nan,nan
igualito a mi apï¿,"fuerza regida, peso pluma",2,2022,12,30,265,6,158950978,8,84,5,1,4,145,e,minor,76,80,81,19,0,6,9,nan,nan
ýýýýýýýýýýýýýýýýýýýýý,fujii kaze,1,2020,5,20,685,14,403097450,24,94,9,0,23,158,f#,minor,60,52,76,17,0,19,5,nan,nan
worst day,future,1,2022,2,11,910,0,50746620,20,3,24,0,0,89,c#,major,65,60,60,11,0,10,40,united states,hip-hop; rap; dirty south; atlanta; trap; hip hop; trap rap; american; future; rnb; seen live; southern rap; shoegaze; gangsta rap; weezy f aka yancy tate; southern hip-hop; southern hip hop; new wave; post-punk; cold wave; pop rap; post punk; georgia; atl; electronic; pop; r&b; futuristic; future hendrix; mumble rap; noise; electronica; soul; usa; underground hip-hop; darkwave; male vocalists; 10s; all; down syndrome; goat; contemporary rnb; dungeon family; meme rap; futuristic swag; racks on racks; yancy tate; french; goth; ambient; post-rock; electro; synth pop; urban; funk; gothic; techno; me; postpunk; hiphop; crunk; space rock; wave; north carolina; drugs; checkout; magic; 2010s; east coast rap; jay-z; rare; powerviolence; 34; rappers; sxsw 2012; codeine; sxsw 2014; multiple artists; hi-tech; slow jam; trap music; purple; cloud rap; post-internet; raggae; swag; romantic ballads; contemporary r&b; hhc; auto-tune; stephanie; xanax; trill; slap; tumblr; gta; t-pain; rennes; gd; greatest of all time
puffin on zootiez,future,1,2022,4,29,2350,0,254218729,28,42,23,0,0,125,g#,major,88,28,66,6,0,13,31,united states,hip-hop; rap; dirty south; atlanta; trap; hip hop; trap rap; american; future; rnb; seen live; southern rap; shoegaze; gangsta rap; weezy f aka yancy tate; southern hip-hop; southern hip hop; new wave; post-punk; cold wave; pop rap; post punk; georgia; atl; electronic; pop; r&b; futuristic; future hendrix; mumble rap; noise; electronica; soul; usa; underground hip-hop; darkwave; male vocalists; 10s; all; down syndrome; goat; contemporary rnb; dungeon family; meme rap; futuristic swag; racks on racks; yancy tate; french; goth; ambient; post-rock; electro; synth pop; urban; funk; gothic; techno; me; postpunk; hiphop; crunk; space rock; wave; north carolina; drugs; checkout; magic; 2010s; east coast rap; jay-z; rare; powerviolence; 34; rappers; sxsw 2012; codeine; sxsw 2014; multiple artists; hi-tech; slow jam; trap music; purple; cloud rap; post-internet; raggae; swag; romantic ballads; contemporary r&b; hhc; auto-tune; stephanie; xanax; trill; slap; tumblr; gta; t-pain; rennes; gd; greatest of all time
superhero (heroes & villains) [with future & chris brown],"future, chris brown, metro boomin",3,2022,12,2,2959,16,401036314,41,69,38,0,36,117,f,minor,72,45,59,14,0,20,21,nan,nan
"all the way live (spider-man: across the spider-verse) (metro boomin & future, lil uzi vert)","future, lil uzi vert, metro boomin",3,2023,6,2,259,0,37126685,5,17,5,0,0,135,a,minor,77,28,55,18,0,22,15,nan,nan
too many nights (feat. don toliver & with future),"future, metro boomin, don toliver",3,2022,12,2,2110,58,286400165,17,119,19,2,266,88,g,minor,68,17,71,15,0,11,5,nan,nan
lady gaga,"gabito ballesteros, junior h, peso pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0,140,f,minor,65,87,74,22,0,42,4,nan,nan
ýýýabcdefu,gayle,1,2021,8,13,7215,0,1007612429,170,12,575,18,,122,e,major,70,42,54,30,0,37,5,nan,nan
mary on a cross,ghost,1,2019,9,13,2668,2,387080183,38,266,78,0,141,130,b,major,47,56,90,0,0,10,4,japan,heavy metal; psychedelic rock; doom metal; seen live; psychedelic; progressive rock; swedish; occult rock; hard rock; rock; metal; japanese; experimental; sweden; death metal; traditional doom metal; hip-hop; doom; progressive; japan; psychedelic folk; uk garage; j-rock; visual kei; black metal; reggae; dubstep; experimental rock; occult; doom rock; progressive metal; satanic; electronic; pop rock; space rock; breakcore; folk; instrumental hip-hop; they look like serial prostitutes with fake dildos to scare little kids; i would rather beat myself to death with a hammer than listen to this; classic rock; psychedelia; occult metal; shit only a retard would listen to; trip-hop; hip hop; pop; polish; neo-psychedelia; uk hip-hop; old school death metal; approximately 1000 times less pleasant than extreme anal caving; more gay than a san fransisco man in a hawaiian shirt sniffing some liquid gold and watching sex in the city; aor; stoner; 00s; psychedelic metal; noise; alternative; garage; swedish metal; heavy psych; acid folk; polish death metal; avant rock
we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854,31,21,15,0,4,130,g,major,57,24,37,11,18,16,3,nan,nan
heartbreak anniversary,giveon,1,2020,2,21,5398,4,951637566,111,127,210,0,37,129,nan,major,61,59,46,56,0,13,5,nan,nan
heat waves,glass animals,1,2020,6,28,22543,63,2557975762,386,144,707,28,,81,b,major,76,53,53,44,0,9,9,united kingdom,electronic; seen live; trip-hop; british; indie; dubstep; indie rock; alternative; indie pop; downtempo; down-tempo; psychedelic; trip hop; electronica; psychedelic pop; experimental; uk; indietronica; male vocalists; post-dubstep; pop; chill; oxford; chillwave; all; art pop; indie electronic; england; dream pop; rnb; psychedelic rock; english; 10s; neo-psychedelia; prog-rnb; soul; alternative rock; dub; idm; dreamy; seenlive; r&b; party; check out later; fip; alternative pop; new band of the day; to listen; trap; animals; indie electro; british i like; radio paradise; radioparadise; wonky; materials; united kingdom; 2014; geohash:gcpn7mhhgtsd; future garage; seen-live; dreamwave; experimental electronic; schlau machen; listen later; from: uk; alternative rnb; minimal pop; hypnagogic; mesmeric; sophia bush; alternative r and b; wielka brytania; labari; 2 times; certainly not dubstep; nayer; vague lyrics; melt festival; odkrycie offf 2013; peanut butter vibes; off festival 2013; mellow digital; prio4; tm: trippy; tm: chill; tm: sexy; 2014 discoveries; meghallgatando; idecember; glastonbury2015; summerwell 2017
contection,"godzz__-, zakaria",2,2020,1,16,6955,0,1180896317,65,45,398,0,1,166,a#,minor,81,83,75,14,0,29,34,nan,nan
tormenta (feat. bad bunny),"gorillaz, bad bunny",2,2023,2,24,1529,0,149778242,32,18,39,2,0,95,nan,major,64,30,77,46,0,38,6,nan,nan
somebody that i used to know,"gotye, kimbra",2,2011,1,1,42798,0,1457139296,217,136,"6,508",1,,129,nan,major,86,75,52,54,0,10,4,nan,nan
no se va,grupo frontera,1,2022,4,28,924,18,404887295,17,80,22,9,38,173,nan,major,59,69,53,12,0,23,3,nan,nan
di que si,"grupo marca registrada, grupo frontera",2,2023,2,3,356,10,147290338,4,64,4,2,37,182,a,major,57,80,59,8,0,6,5,nan,nan
el rescate,"grupo marca registrada, junior h",2,2022,7,22,527,4,287278853,10,43,3,1,0,99,g,minor,79,64,59,28,0,11,14,nan,nan
fukumean,gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,c#,minor,85,22,62,12,0,28,9,nan,nan
25k jacket (feat. lil baby),"gunna, lil baby",2,2022,1,7,620,0,54937991,17,3,3,0,0,115,f,minor,90,74,54,16,0,13,28,nan,nan
sweet child o' mine,guns n' roses,1,1987,1,1,41231,1,1553497987,228,151,"6,720",3,99,125,f#,major,45,67,90,9,11,10,5,nan,nan
eu gosto assim - ao vivo,"gustavo mioto, mari fernandez",2,2022,9,16,1473,4,222612678,27,64,66,1,4,154,nan,major,64,61,91,15,0,72,4,nan,nan
you make it feel like christmas (feat. blake shelton),"gwen stefani, blake shelton",2,2005,9,20,2577,0,180577478,108,56,30,0,0,93,f,major,63,93,88,1,0,12,4,nan,nan
so good,halsey,1,2022,6,9,1057,0,91781263,51,14,19,0,0,83,d#,minor,63,29,62,4,0,18,4,united states,nan
boy with luv (feat. halsey),"halsey, bts",2,2019,4,12,4260,0,1065580332,113,92,259,0,1,120,b,minor,65,80,86,9,0,19,10,nan,nan
lilith (feat. suga of bts) (diablo iv anthem),"halsey, suga",2,2023,6,5,215,6,51985779,6,14,8,2,4,84,a,minor,43,14,74,1,0,19,8,nan,nan
cinema,harry styles,1,2022,5,20,2171,0,189236868,18,1,28,0,0,106,a,minor,83,90,64,35,5,9,4,united kingdom,nan
music for a sushi restaurant,harry styles,1,2022,5,20,4449,1,334733572,80,11,66,0,1,107,b,major,72,36,72,26,6,11,4,united kingdom,nan
golden,harry styles,1,2019,12,13,8429,1,807015863,85,24,200,0,2,140,e,minor,45,25,84,21,0,13,6,united kingdom,nan
love of my life,harry styles,1,2022,5,20,1933,0,233671263,13,2,31,0,0,118,g,major,56,20,54,67,0,6,5,united kingdom,nan
as it was,harry styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,,174,f#,minor,52,66,73,34,0,31,6,united kingdom,nan
late night talking,harry styles,1,2022,5,20,7461,8,743693613,166,42,199,16,58,115,a#,major,71,90,73,30,0,11,5,united kingdom,nan
falling,harry styles,1,2019,12,13,7556,0,1023187129,124,24,254,0,8,110,e,major,57,6,27,84,0,9,3,united kingdom,nan
daylight,harry styles,1,2022,5,20,2775,0,290833204,21,11,40,0,0,146,nan,major,69,63,45,48,0,18,4,united kingdom,nan
grapejuice,harry styles,1,2022,5,20,1986,0,199587884,7,1,15,0,0,183,f,major,65,88,72,36,14,20,3,united kingdom,nan
little freak,harry styles,1,2022,5,20,2302,0,273194684,20,3,39,0,0,142,d#,major,56,40,54,72,0,10,4,united kingdom,nan
watermelon sugar,harry styles,1,2019,11,17,21915,34,2322580122,437,115,"1,212",12,,95,nan,major,55,56,82,12,0,34,5,united kingdom,nan
daydreaming,harry styles,1,2022,5,20,1900,1,187703102,15,1,23,0,0,114,e,minor,71,90,81,31,2,13,3,united kingdom,nan
adore you,harry styles,1,2019,12,6,13454,1,1439191367,246,71,519,2,5,99,g#,major,68,57,77,2,0,10,5,united kingdom,nan
satellite,harry styles,1,2022,5,20,3291,5,311482393,43,28,79,0,208,139,nan,major,58,30,46,14,0,9,3,united kingdom,nan
keep driving,harry styles,1,2022,5,20,2094,1,236060709,8,1,18,0,0,165,a,major,72,90,48,32,0,18,23,united kingdom,nan
boyfriends,harry styles,1,2022,5,20,1517,0,137070925,26,2,30,0,0,118,nan,major,42,32,20,94,0,11,4,united kingdom,nan
matilda,harry styles,1,2022,5,20,3218,3,366214458,29,10,79,0,0,114,d,major,51,39,29,90,0,10,4,united kingdom,nan
with you,"ha sung woon, jimin",2,2022,4,24,343,2,240580042,4,35,11,1,1,150,d#,major,53,14,43,64,0,13,3,nan,nan
shut up my moms calling,hotel ugly,1,2020,2,10,1788,14,405136812,1,50,19,0,19,139,a,minor,48,37,41,32,0,10,10,nan,nan
shut up my moms calling - (sped up),hotel ugly,1,2022,9,14,713,7,181831132,2,4,6,0,0,85,f,minor,65,36,47,31,0,12,10,nan,nan
take me to church,hozier,1,2013,9,13,23804,31,2135158446,187,99,"4,623",1,0,129,e,minor,57,41,66,63,0,12,5,ireland,blues; indie; soul; singer-songwriter; irish; seen live; indie rock; rock; alternative; folk; male vocalists; ireland; pop; blues rock; indie folk; gospel; chamber pop; pop soul; acoustic; indie pop; 10s; folk blues; soul rock; hozier; indie-rock; folk rock; europop; 2014; acoustic blues; all; bray
demons,imagine dragons,1,2012,1,1,26694,13,1840364617,65,82,"3,425",4,13,180,d#,major,33,38,71,20,0,28,5,united states,indie; indie rock; alternative; rock; indie pop; seen live; alternative rock; american; pop; male vocalists; pop rock; imagine dragons; electronic; usa; las vegas; electronic rock; 2010s; folk; new wave; nevada; 10s; pop-rock; united states
believer,imagine dragons,1,2017,1,31,18986,23,2594040133,250,121,"2,969",10,31,125,a#,minor,77,74,78,4,0,23,11,united states,indie; indie rock; alternative; rock; indie pop; seen live; alternative rock; american; pop; male vocalists; pop rock; imagine dragons; electronic; usa; las vegas; electronic rock; 2010s; folk; new wave; nevada; 10s; pop-rock; united states
bones,imagine dragons,1,2021,3,11,4198,44,838079900,98,108,327,17,153,114,f,minor,77,65,72,2,0,7,5,united states,indie; indie rock; alternative; rock; indie pop; seen live; alternative rock; american; pop; male vocalists; pop rock; imagine dragons; electronic; usa; las vegas; electronic rock; 2010s; folk; new wave; nevada; 10s; pop-rock; united states
enemy - from the series arcane league of legends,"imagine dragons, league of legends, arcane",3,2021,10,27,824,0,1223481149,8,8,8,2,0,77,g,major,73,54,74,23,0,41,23,nan,nan
enemy (with jid) - from the series arcane league of legends,"imagine dragons, league of legends, jid, arcane",4,2021,9,3,6180,7,1223481149,122,88,580,21,10,77,b,minor,72,59,76,24,0,42,28,nan,nan
excuses,"intense, ap dhillon, gurinder gill",3,2020,7,24,272,4,327498031,7,21,2,0,0,95,f,minor,84,49,72,8,0,15,8,nan,nan
b.o.t.a. (baddest of them all) - edit,"interplanetary criminal, eliza rose",2,2022,6,15,5153,6,244585109,102,53,113,12,0,137,nan,major,74,71,89,24,61,15,5,nan,nan
metamorphosis,interworld,1,2021,11,25,1561,24,357580552,18,78,24,0,30,175,g,minor,59,15,64,43,90,12,10,nan,nan
bombonzinho - ao vivo,"israel & rodolffo, ana castela",2,2022,11,3,1254,6,263453310,26,69,73,2,6,158,c#,major,65,72,95,31,0,92,5,nan,nan
seu brilho sumiu - ao vivo,"israel & rodolffo, mari fernandez",2,2023,3,1,967,5,138517666,7,29,51,1,29,154,f#,major,63,75,92,31,0,91,5,nan,nan
people pt.2 (feat. iu),"iu, agust d",2,2023,4,7,209,4,95816024,4,45,11,2,24,89,g,minor,73,44,57,39,0,32,6,nan,nan
i am,ive,1,2023,4,10,366,15,123132751,16,102,7,0,55,122,e,minor,68,38,88,1,0,8,5,nan,nan
after like,ive,1,2022,8,22,767,12,265548837,20,129,11,0,12,125,nan,major,68,80,92,10,0,9,12,nan,nan
eleven,ive,1,2021,12,1,521,1,247737946,17,89,11,0,0,120,a,major,83,59,73,6,0,5,11,nan,nan
love dive,ive,1,2022,4,5,753,8,305771063,28,124,13,0,1,118,c#,minor,70,54,71,0,0,33,4,nan,nan
more,j-hope,1,2022,7,1,565,0,155795783,6,52,11,0,0,97,d,major,78,31,72,1,0,11,4,nan,nan
on the street (with j. cole),"j-hope, j. cole",2,2023,3,3,615,2,116599790,22,82,8,0,9,94,b,minor,68,81,82,53,0,9,13,nan,nan
no role modelz,j. cole,1,2014,12,9,21164,36,1791000570,80,65,476,0,14,100,a#,minor,70,47,52,30,0,6,33,united states,hip-hop; rap; underground hip-hop; jazz hop; north carolina; hip hop; j cole; seen live; american; underground rap; rnb; underground hip hop; alternative rap; east coast; alternative hip-hop; fayetteville; roc nation; underground; conscious rap; usa; hiphop; pop rap; pop; boring; 10s; east coast rap; southern rap; east coast hip hop; conscious hip hop
all my life (feat. j. cole),"j. cole, lil durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,d#,major,83,69,44,15,0,10,33,nan,nan
peaches (from the super mario bros. movie),jack black,1,2023,4,7,34,0,68216992,0,0,0,0,0,92,a#,minor,71,41,31,79,0,10,5,united states,comedy; funny; rock; alternative; podcast; male vocalists; god of rock; american; singer-songwriter; odd; soundtrack; seen live; cool; jack black; alternative rock; english; actor; cover song; tenacious d; rock-humor; favorite bands; seattle; hard rock; usa; cute; comedy rock; awesome; r&b; crap; shit; me likey; different; movie; coachella; god; where; idols; movie soundtracks; fucking genius; i love you; beautiful voices; favoritos; singing actors; if this were a pokemon i would catch it; love him; favorite singers; divertido; nacho libre; rock  true  funny tenacious; originals; unforgettable songs from when i was a teenager; people with initials jb; rock legend; modern pop and rock; best voice; zagraniczne; carminha; stuff philth takes no responsibility for; soska likes it; actors who think they can sing; everything better; great actor; celebrity crush; voces favoritas; frat pack; maurotozzola
first class,jack harlow,1,2022,4,8,8737,0,694525298,163,32,137,15,12,107,g#,major,91,32,56,3,0,11,10,nan,nan
dua lipa,jack harlow,1,2022,5,6,1992,0,150500965,35,0,3,0,0,158,b,major,83,41,65,0,10,11,8,nan,nan
nail tech,jack harlow,1,2022,2,18,2939,0,193443895,42,0,24,0,0,150,e,minor,65,11,58,0,0,12,9,nan,nan
industry baby (feat. jack harlow),"jack harlow, lil nas x",2,2021,7,23,13315,0,1814349763,300,47,690,0,,150,d#,minor,74,89,70,2,0,5,6,nan,nan
makeba,jain,1,2015,6,22,6060,53,165484133,150,148,"2,703",22,"1,451",116,d,major,82,40,66,39,51,25,7,nan,nan
car's outside,james arthur,1,2019,10,18,794,10,265882712,38,25,61,0,263,150,a,major,34,24,56,4,0,11,3,united kingdom,pop; british; indie; acoustic; x factor; male vocalists; alternative; seen live; indie pop; singer-songwriter; rock; english; uk; male vocalist; united kingdom; all; x-factor; cant sing; x factor crap; male; soul; instrumental; pop rock; britpop; england; genius; garage rock; garage; singer/songwriter; love it; <3; impossible; winner; the worst thing ever to happen to music; loved artists; swag; simply the best; song writer; acoutic; upd; the x factor;  ; excuse me while i replay this a thousand more times; not k-pop; x factor 2012; kksi; zermatt unplugged 2014; james arthur; saltburn; x factor uk; inpossible; staracademy; your beast
